Asset being sold,Asset being purchased,Dollar Value,Account Owner
BTC,TWTR,30,wPccxlgU
GOOG,Cash,32,vk49No9e
Cash,GOOG,55,wPccxlgU
Cash,GOOG,55,wPccxlgU
GOOG,Cash,23,wPccxlgU
Cash,GOOG,18,wPccxlgU
FB,Cash,38,vk49No9e
Cash,GOOG,36,wPccxlgU
FB,Cash,39,vk49No9e
Cash,GOOG,37,wPccxlgU
Cash,GOOG,93,wPccxlgU
GOOG,Cash,93,wPccxlgU
GOOG,Cash,17,wPccxlgU
Cash,GOOG,19,wPccxlgU
BTC,ZEN,26,vk49No9e
Cash,ZEN,293,vk49No9e
Cash,GOOG,28,wPccxlgU
Cash,FB,118,wPccxlgU
Cash,FB,9,wPccxlgU
Cash,GOOG,31,wPccxlgU
Cash,GOOG,122,wPccxlgU
FB,Cash,8,wPccxlgU
TWTR,BTC,229712,vk49No9e
Cash,FB,25,wPccxlgU
Cash,FB,32,wPccxlgU
Cash,FB,89,wPccxlgU
GOOG,Cash,55,wPccxlgU
GOOG,Cash,76,wPccxlgU
FB,Cash,17,wPccxlgU
FB,Cash,31,wPccxlgU
Cash,FB,37,wPccxlgU
Cash,FB,16,wPccxlgU
FB,Cash,19,wPccxlgU
FB,Cash,10,wPccxlgU
Cash,FB,55,wPccxlgU
Cash,GOOG,25,wPccxlgU
FB,Cash,10,wPccxlgU
FB,Cash,25,wPccxlgU
FB,Cash,8,wPccxlgU
FB,Cash,21,wPccxlgU
BTC,TWTR,46,vk49No9e
Cash,FB,10,wPccxlgU
BTC,ZEN,519,vk49No9e
FB,Cash,10,wPccxlgU
Cash,GOOG,158,wPccxlgU
Cash,FB,10,wPccxlgU
GOOG,Cash,89,wPccxlgU
Cash,FB,14,wPccxlgU
FB,Cash,12,wPccxlgU
FB,Cash,10,wPccxlgU
GOOG,Cash,22,wPccxlgU
GOOG,Cash,17,wPccxlgU
GOOG,Cash,124,wPccxlgU
GOOG,Cash,124,wPccxlgU
Cash,GOOG,86,wPccxlgU
Cash,GOOG,86,wPccxlgU
FB,Cash,16,wPccxlgU
BTC,TWTR,21,wPccxlgU
TWTR,BTC,29,wPccxlgU
TWTR,BTC,18,wPccxlgU
TWTR,BTC,20,wPccxlgU
BTC,TWTR,18,wPccxlgU
TWTR,BTC,19,wPccxlgU
Cash,GOOG,1686,wPccxlgU
TWTR,BTC,550,vk49No9e
TWTR,BTC,91,wPccxlgU
FB,Cash,17,wPccxlgU
BTC,TWTR,257,vk49No9e
TWTR,BTC,33,wPccxlgU
Cash,GOOG,63,wPccxlgU
Cash,ZEN,132,vk49No9e
GOOG,Cash,503,wPccxlgU
Cash,FB,8,wPccxlgU
Cash,FB,8,wPccxlgU
Cash,GOOG,28,wPccxlgU
GOOG,Cash,33,wPccxlgU
FB,Cash,17,wPccxlgU
BTC,TWTR,14,wPccxlgU
FB,Cash,14,wPccxlgU
Cash,FB,10,wPccxlgU
Cash,GOOG,27,wPccxlgU
FB,Cash,20,wPccxlgU
BTC,TLSA,23,wPccxlgU
BTC,ZEN,586,vk49No9e
BTC,ZEN,125,wPccxlgU
TWTR,BTC,34,wPccxlgU
Cash,GOOG,69,wPccxlgU
BTC,TWTR,15,wPccxlgU
TWTR,BTC,38,vk49No9e
BTC,TWTR,37,wPccxlgU
TWTR,BTC,35,wPccxlgU
BTC,TWTR,53,wPccxlgU
BTC,TWTR,39,wPccxlgU
Cash,GOOG,135,wPccxlgU
TWTR,BTC,14,wPccxlgU
GOOG,Cash,105,wPccxlgU
Cash,GOOG,148,wPccxlgU
BTC,TWTR,77,wPccxlgU
BTC,TWTR,251,wPccxlgU
BTC,ZEN,404,vk49No9e
TWTR,BTC,101,vk49No9e
Cash,GOOG,36,vk49No9e
Cash,GOOG,39,wPccxlgU
FB,Cash,9,wPccxlgU
FB,Cash,20,wPccxlgU
FB,Cash,11,wPccxlgU
TWTR,BTC,39,vk49No9e
BTC,TWTR,31,vk49No9e
FB,Cash,14,wPccxlgU
TWTR,BTC,94,vk49No9e
GOOG,Cash,41,wPccxlgU
Cash,FB,84,vk49No9e
Cash,GOOG,71,wPccxlgU
Cash,FB,11,wPccxlgU
GOOG,Cash,39,vk49No9e
FB,Cash,8,wPccxlgU
FB,Cash,11,wPccxlgU
FB,Cash,5,wPccxlgU
GOOG,Cash,146,vk49No9e
BTC,ZEN,23,wPccxlgU
GOOG,Cash,42,vk49No9e
MSFT,BTC,67,vk49No9e
ZEN,BTC,3329,wPccxlgU
Cash,GOOG,12,vk49No9e
BTC,MSFT,23,vk49No9e
BTC,MSFT,8,vk49No9e
Cash,GOOG,25,vk49No9e
GOOG,Cash,16,vk49No9e
GOOG,Cash,18,vk49No9e
GOOG,Cash,15,vk49No9e
GOOG,Cash,16,vk49No9e
Cash,GOOG,13,vk49No9e
GOOG,Cash,13,vk49No9e
ZEN,BTC,107,wPccxlgU
BTC,ZEN,30,wPccxlgU
Cash,GOOG,16,vk49No9e
BTC,TWTR,50,vk49No9e
TWTR,BTC,40,vk49No9e
GOOG,Cash,272896,vk49No9e
BTC,TWTR,60,vk49No9e
BTC,TWTR,62,vk49No9e
BTC,TWTR,19,wPccxlgU
TWTR,BTC,44,wPccxlgU
TWTR,BTC,22,wPccxlgU
ZEN,BTC,609,wPccxlgU
Cash,GOOG,13641,vk49No9e
GOOG,Cash,93,vk49No9e
BTC,ZEN,31,wPccxlgU
BTC,TWTR,20,vk49No9e
TWTR,BTC,13,vk49No9e
TWTR,BTC,9,vk49No9e
BTC,ZEN,145,wPccxlgU
BTC,ZEN,44,wPccxlgU
BTC,ZEN,21,wPccxlgU
BTC,ZEN,39,wPccxlgU
BTC,ZEN,39,wPccxlgU
GOOG,Cash,55,vk49No9e
Cash,GOOG,113,vk49No9e
Cash,GOOG,20,vk49No9e
Cash,GOOG,14,vk49No9e
FB,Cash,52,vk49No9e
FB,Cash,17,vk49No9e
Cash,FB,35,vk49No9e
FB,Cash,38,vk49No9e
FB,Cash,532,vk49No9e
GOOG,Cash,265,vk49No9e
Cash,FB,14,vk49No9e
Cash,FB,23,vk49No9e
GOOG,Cash,43,vk49No9e
Cash,FB,14,vk49No9e
FB,Cash,137,vk49No9e
FB,Cash,10,vk49No9e
FB,Cash,154,vk49No9e
BTC,TWTR,92,BMcMDnnf
ZEN,BTC,5060,wPccxlgU
Cash,GOOG,5596,vk49No9e
TWTR,BTC,90,BMcMDnnf
ZEN,BTC,33,wPccxlgU
ZEN,BTC,46,wPccxlgU
ZEN,BTC,22,wPccxlgU
BTC,ZEN,44,wPccxlgU
BTC,ZEN,70,wPccxlgU
GOOG,Cash,183,vk49No9e
GOOG,Cash,23,vk49No9e
Cash,FB,36,vk49No9e
BTC,TWTR,51,vk49No9e
Cash,GOOG,78,vk49No9e
Cash,GOOG,23,vk49No9e
Cash,FB,13,vk49No9e
Cash,FB,21,vk49No9e
BTC,TWTR,30,wPccxlgU
BTC,TWTR,33,wPccxlgU
BTC,TWTR,27,wPccxlgU
TWTR,BTC,45,wPccxlgU
BTC,ZEN,723,wPccxlgU
ZEN,BTC,60,6FHD6vCd
BTC,ZEN,43,wPccxlgU
TWTR,BTC,91,wPccxlgU
BTC,TWTR,17,wPccxlgU
TWTR,BTC,19,wPccxlgU
TWTR,BTC,20,wPccxlgU
TWTR,BTC,98,wPccxlgU
TWTR,BTC,194,wPccxlgU
Cash,FB,32,wPccxlgU
Cash,FB,9,wPccxlgU
FB,Cash,26,wPccxlgU
Cash,FB,20,wPccxlgU
BTC,TWTR,21,wPccxlgU
BTC,TWTR,36,wPccxlgU
TWTR,BTC,185,sLuvY43U
ZEN,BTC,60,sLuvY43U
GOOG,Cash,61,wPccxlgU
GOOG,Cash,84,wPccxlgU
ZEN,BTC,2966,vk49No9e
ZEN,BTC,147,sLuvY43U
Cash,FB,11,wPccxlgU
FB,Cash,16,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,FB,3,wPccxlgU
Cash,FB,10,wPccxlgU
Cash,FB,12,wPccxlgU
FB,Cash,16,wPccxlgU
FB,Cash,10,wPccxlgU
Cash,FB,9,wPccxlgU
Cash,GOOG,25,wPccxlgU
ZEN,BTC,753,vk49No9e
Cash,GOOG,33,wPccxlgU
ZEN,BTC,147,wPccxlgU
BTC,TWTR,111,vk49No9e
BTC,ZEN,902,wPccxlgU
BTC,TWTR,14,Pl0eRMGi
ZEN,BTC,499,vk49No9e
BTC,TWTR,22,Pl0eRMGi
BTC,ZEN,26,Pl0eRMGi
TWTR,BTC,16,Pl0eRMGi
TWTR,BTC,16,Pl0eRMGi
TWTR,BTC,517,Pl0eRMGi
BTC,TWTR,26,Pl0eRMGi
TWTR,BTC,13,Pl0eRMGi
BTC,TWTR,19,Pl0eRMGi
BTC,ZEN,1392,vk49No9e
TWTR,BTC,17,Pl0eRMGi
BTC,TWTR,15,Pl0eRMGi
TWTR,BTC,12,Pl0eRMGi
BTC,ZEN,1383,vk49No9e
TWTR,BTC,15,Pl0eRMGi
BTC,TWTR,27,vk49No9e
BTC,TWTR,14,Pl0eRMGi
BTC,TWTR,14,Pl0eRMGi
TWTR,BTC,41,Pl0eRMGi
BTC,TWTR,16,Pl0eRMGi
Cash,ZEN,455,wPccxlgU
TWTR,BTC,14,Pl0eRMGi
TWTR,BTC,16,Pl0eRMGi
GOOG,Cash,72,vk49No9e
TWTR,BTC,16,Pl0eRMGi
TWTR,BTC,10,Pl0eRMGi
TWTR,BTC,14,Pl0eRMGi
BTC,TWTR,25,Pl0eRMGi
BTC,TWTR,11,Pl0eRMGi
BTC,TWTR,14,Pl0eRMGi
TWTR,BTC,14,Pl0eRMGi
BTC,TWTR,22,Pl0eRMGi
BTC,TWTR,20,Pl0eRMGi
TWTR,BTC,16,Pl0eRMGi
BTC,TWTR,74,Pl0eRMGi
TWTR,BTC,7,Pl0eRMGi
BTC,ZEN,387,vk49No9e
BTC,TWTR,7,Pl0eRMGi
TWTR,BTC,61,Pl0eRMGi
FB,Cash,9,wPccxlgU
Cash,FB,6,wPccxlgU
BTC,TWTR,44,Pl0eRMGi
TWTR,BTC,8,Pl0eRMGi
BTC,ZEN,1484,Pl0eRMGi
FB,Cash,6,wPccxlgU
Cash,FB,8,wPccxlgU
FB,Cash,10,wPccxlgU
FB,Cash,5,wPccxlgU
TWTR,BTC,84,Pl0eRMGi
TWTR,BTC,1257,Pl0eRMGi
BTC,TWTR,1188,Pl0eRMGi
BTC,TWTR,1187,Pl0eRMGi
BTC,ZEN,4509565,BDe66hnC
ZEN,Cash,1288,Pl0eRMGi
TWTR,BTC,12,Pl0eRMGi
BTC,TWTR,13,Pl0eRMGi
TWTR,BTC,15,Pl0eRMGi
TWTR,BTC,413,Pl0eRMGi
BTC,TWTR,41,Pl0eRMGi
BTC,TWTR,45,Pl0eRMGi
ZEN,BTC,2615,Pl0eRMGi
BTC,ZEN,317,Pl0eRMGi
BTC,ZEN,1568,Pl0eRMGi
ZEN,BTC,2910,Pl0eRMGi
ZEN,BTC,563,vk49No9e
Cash,FB,74,vk49No9e
FB,Cash,15,vk49No9e
BTC,MSFT,24,vk49No9e
FB,Cash,30,vk49No9e
FB,Cash,10,vk49No9e
GOOG,Cash,129,vk49No9e
Cash,FB,35,vk49No9e
FB,Cash,21,vk49No9e
GOOG,Cash,49,vk49No9e
Cash,GOOG,66,vk49No9e
Cash,GOOG,66,vk49No9e
FB,Cash,37,vk49No9e
BTC,TWTR,87,BMcMDnnf
BTC,TWTR,4,BMcMDnnf
GOOG,Cash,37,vk49No9e
GOOG,Cash,37,vk49No9e
Cash,FB,15,vk49No9e
TWTR,BTC,28,BMcMDnnf
Cash,GOOG,60,vk49No9e
BTC,TWTR,23,BMcMDnnf
TWTR,BTC,42,BMcMDnnf
BTC,TWTR,39,BMcMDnnf
GOOG,Cash,137,vk49No9e
Cash,GOOG,35,vk49No9e
TLSA,BTC,30,vk49No9e
TWTR,BTC,305,wPccxlgU
TWTR,BTC,32,wPccxlgU
TWTR,BTC,28,wPccxlgU
BTC,ZEN,51,wPccxlgU
ZEN,BTC,52,wPccxlgU
ZEN,BTC,50,wPccxlgU
ZEN,BTC,39,wPccxlgU
BTC,ZEN,77,wPccxlgU
ZEN,BTC,190,wPccxlgU
BTC,TWTR,17,wPccxlgU
FB,Cash,13,wPccxlgU
TWTR,BTC,101,wPccxlgU
BTC,TWTR,18,wPccxlgU
TWTR,BTC,21,wPccxlgU
TWTR,BTC,24,wPccxlgU
TWTR,BTC,16,wPccxlgU
Cash,FB,22,wPccxlgU
Cash,FB,14,wPccxlgU
FB,Cash,10,wPccxlgU
Cash,FB,11,wPccxlgU
Cash,FB,17,wPccxlgU
FB,Cash,11,wPccxlgU
Cash,FB,9,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,FB,17,wPccxlgU
Cash,FB,15,wPccxlgU
FB,Cash,13,wPccxlgU
Cash,FB,16,wPccxlgU
BTC,ZEN,1258,f5A1AhdH
GOOG,Cash,87,wPccxlgU
Cash,GOOG,18,wPccxlgU
Cash,GOOG,25,wPccxlgU
BTC,TWTR,40,wPccxlgU
GOOG,Cash,16,wPccxlgU
Cash,GOOG,19,wPccxlgU
Cash,FB,15,wPccxlgU
FB,Cash,10,wPccxlgU
FB,Cash,28,wPccxlgU
Cash,FB,8,wPccxlgU
FB,Cash,55,wPccxlgU
Cash,FB,54,wPccxlgU
Cash,FB,11,wPccxlgU
Cash,FB,11,wPccxlgU
Cash,FB,11,wPccxlgU
Cash,FB,10,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,FB,10,wPccxlgU
Cash,FB,10,wPccxlgU
BTC,TWTR,57,BMcMDnnf
Cash,FB,9,wPccxlgU
Cash,FB,8,wPccxlgU
FB,Cash,18,wPccxlgU
FB,Cash,23,wPccxlgU
FB,Cash,24,wPccxlgU
Cash,FB,11,wPccxlgU
Cash,FB,34,wPccxlgU
FB,Cash,8,wPccxlgU
BTC,TWTR,268499,f5A1AhdH
BTC,TWTR,24,BMcMDnnf
BTC,TWTR,66,BMcMDnnf
TWTR,BTC,28,BMcMDnnf
ZEN,BTC,23,SooB8bec
BTC,TWTR,37,Pl0eRMGi
BTC,TWTR,36,Pl0eRMGi
BTC,TWTR,54,Pl0eRMGi
TWTR,BTC,14823,Pl0eRMGi
BTC,TWTR,14966,Pl0eRMGi
BTC,TWTR,7702,Pl0eRMGi
TWTR,BTC,15059,Pl0eRMGi
TWTR,BTC,84,vk49No9e
GOOG,Cash,6,79kRyE6h
GOOG,Cash,6,79kRyE6h
BTC,TWTR,177,79kRyE6h
GOOG,Cash,2637,79kRyE6h
Cash,GOOG,65,79kRyE6h
Cash,GOOG,6,79kRyE6h
ZEN,Cash,21,vk49No9e
Cash,GOOG,14,79kRyE6h
Cash,GOOG,63,79kRyE6h
Cash,GOOG,6,79kRyE6h
Cash,GOOG,6,79kRyE6h
GOOG,Cash,6,79kRyE6h
GOOG,Cash,6,79kRyE6h
Cash,GOOG,5,79kRyE6h
Cash,GOOG,6,79kRyE6h
Cash,FB,20,wPccxlgU
Cash,ZEN,100,vk49No9e
Cash,ZEN,14,vk49No9e
Cash,GOOG,6,79kRyE6h
FB,Cash,72,wPccxlgU
Cash,GOOG,5,79kRyE6h
Cash,GOOG,6,79kRyE6h
Cash,ZEN,37,vk49No9e
BTC,TWTR,68,79kRyE6h
Cash,ZEN,37,vk49No9e
TWTR,BTC,49,79kRyE6h
Cash,ZEN,34,vk49No9e
ZEN,Cash,15,vk49No9e
GOOG,Cash,9,79kRyE6h
ZEN,Cash,27,vk49No9e
Cash,FB,18,wPccxlgU
Cash,GOOG,7,79kRyE6h
GOOG,Cash,6,79kRyE6h
GOOG,Cash,5,79kRyE6h
Cash,FB,13,wPccxlgU
ZEN,Cash,27,vk49No9e
GOOG,Cash,6,79kRyE6h
GOOG,Cash,6,79kRyE6h
Cash,ZEN,19,vk49No9e
GOOG,Cash,6,79kRyE6h
Cash,GOOG,9,79kRyE6h
Cash,ZEN,15,vk49No9e
Cash,ZEN,16,vk49No9e
ZEN,Cash,34,vk49No9e
ZEN,Cash,15,vk49No9e
ZEN,Cash,17,vk49No9e
Cash,FB,88,wPccxlgU
FB,Cash,12,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,ZEN,16,vk49No9e
FB,Cash,9,wPccxlgU
ZEN,Cash,38,vk49No9e
Cash,ZEN,13,vk49No9e
FB,Cash,12,wPccxlgU
Cash,FB,9,wPccxlgU
ZEN,Cash,15,vk49No9e
ZEN,Cash,14,vk49No9e
FB,Cash,7,wPccxlgU
FB,Cash,10,wPccxlgU
Cash,FB,7,wPccxlgU
Cash,ZEN,18,vk49No9e
GOOG,Cash,535,wPccxlgU
GOOG,Cash,389,wPccxlgU
GOOG,Cash,20,wPccxlgU
ZEN,Cash,14,vk49No9e
ZEN,Cash,15,vk49No9e
ZEN,Cash,14,vk49No9e
BTC,ZEN,504637,vk49No9e
FB,Cash,6,wPccxlgU
FB,Cash,23,wPccxlgU
Cash,FB,6,wPccxlgU
ZEN,BTC,3529763,vk49No9e
Cash,FB,16,wPccxlgU
FB,Cash,3,wPccxlgU
FB,Cash,5,wPccxlgU
FB,Cash,161,wPccxlgU
Cash,FB,5,wPccxlgU
FB,Cash,5,wPccxlgU
FB,Cash,5,wPccxlgU
FB,Cash,6,wPccxlgU
FB,Cash,5,wPccxlgU
BTC,ZEN,4055712,vk49No9e
FB,Cash,10,wPccxlgU
Cash,FB,8,wPccxlgU
Cash,FB,8,wPccxlgU
FB,Cash,9,wPccxlgU
Cash,FB,6,wPccxlgU
BTC,TWTR,1955,79kRyE6h
BTC,TWTR,55,79kRyE6h
GOOG,Cash,133,vk49No9e
Cash,FB,29,vk49No9e
FB,Cash,56,vk49No9e
FB,Cash,356,vk49No9e
FB,Cash,88,vk49No9e
FB,Cash,400,vk49No9e
Cash,GOOG,64,vk49No9e
FB,Cash,60,vk49No9e
Cash,FB,57,vk49No9e
Cash,FB,22,vk49No9e
Cash,FB,14,vk49No9e
Cash,FB,19,vk49No9e
Cash,GOOG,47,vk49No9e
FB,Cash,75,vk49No9e
Cash,FB,38,vk49No9e
GOOG,Cash,47,vk49No9e
Cash,FB,53,vk49No9e
FB,Cash,818,vk49No9e
Cash,FB,14,vk49No9e
Cash,GOOG,75,vk49No9e
GOOG,Cash,75,vk49No9e
Cash,FB,97,vk49No9e
Cash,FB,59,vk49No9e
FB,Cash,17,vk49No9e
FB,Cash,18,vk49No9e
Cash,FB,15,vk49No9e
Cash,GOOG,182,vk49No9e
ZEN,Cash,441,vk49No9e
Cash,FB,77,vk49No9e
Cash,FB,7,wPccxlgU
Cash,FB,6,wPccxlgU
Cash,GOOG,31,vk49No9e
FB,Cash,21,vk49No9e
FB,Cash,7,wPccxlgU
GOOG,Cash,37,vk49No9e
FB,Cash,6,wPccxlgU
TWTR,BTC,366,2jHk31mT
GOOG,Cash,102,wPccxlgU
Cash,GOOG,206,wPccxlgU
BTC,TWTR,21,Pl0eRMGi
BTC,TWTR,86843,2jHk31mT
GOOG,Cash,85,wPccxlgU
BTC,TWTR,145,Pl0eRMGi
TWTR,BTC,21,Pl0eRMGi
BTC,ZEN,337103,SooB8bec
BTC,ZEN,332148,SooB8bec
BTC,ZEN,337405,SooB8bec
ZEN,BTC,334710,SooB8bec
BTC,ZEN,334764,SooB8bec
ZEN,BTC,337490,SooB8bec
ZEN,BTC,337135,SooB8bec
ZEN,BTC,337745,SooB8bec
ZEN,BTC,107,SooB8bec
ZEN,BTC,335586,SooB8bec
ZEN,BTC,35,SooB8bec
BTC,ZEN,187,SooB8bec
BTC,ZEN,68,SooB8bec
BTC,TWTR,49,SooB8bec
ZEN,BTC,73,SooB8bec
ZEN,BTC,59,SooB8bec
ZEN,BTC,338914,SooB8bec
BTC,ZEN,19,SooB8bec
ZEN,BTC,136,SooB8bec
BTC,ZEN,19,SooB8bec
ZEN,BTC,138,SooB8bec
BTC,ZEN,53,SooB8bec
BTC,ZEN,338997,SooB8bec
BTC,ZEN,338705,SooB8bec
BTC,ZEN,338749,SooB8bec
ZEN,BTC,337913,SooB8bec
BTC,ZEN,338627,SooB8bec
BTC,ZEN,15,Pl0eRMGi
BTC,TWTR,338134,SooB8bec
ZEN,BTC,170,Pl0eRMGi
ZEN,BTC,10,Pl0eRMGi
ZEN,BTC,8,Pl0eRMGi
ZEN,BTC,9,Pl0eRMGi
BTC,ZEN,9,Pl0eRMGi
BTC,TWTR,42,Pl0eRMGi
BTC,TWTR,34,Pl0eRMGi
BTC,TWTR,21,Pl0eRMGi
Cash,FB,54,vk49No9e
FB,Cash,72,vk49No9e
GOOG,Cash,65,vk49No9e
Cash,FB,172,vk49No9e
FB,Cash,199,vk49No9e
Cash,FB,27,vk49No9e
GOOG,Cash,126,vk49No9e
GOOG,Cash,182,vk49No9e
Cash,GOOG,56,vk49No9e
Cash,FB,22,vk49No9e
Cash,FB,128,vk49No9e
Cash,GOOG,249,vk49No9e
Cash,FB,30,vk49No9e
FB,Cash,228,vk49No9e
FB,Cash,192,vk49No9e
FB,Cash,20,vk49No9e
FB,Cash,91,vk49No9e
Cash,GOOG,124,vk49No9e
FB,Cash,16,vk49No9e
Cash,FB,72,vk49No9e
FB,Cash,154,vk49No9e
Cash,FB,19,vk49No9e
FB,Cash,35,vk49No9e
FB,Cash,50,vk49No9e
Cash,FB,35,vk49No9e
Cash,FB,16,vk49No9e
TWTR,BTC,28,wPccxlgU
FB,Cash,35,vk49No9e
FB,Cash,26,vk49No9e
FB,Cash,91,vk49No9e
FB,Cash,18,vk49No9e
FB,Cash,18,vk49No9e
FB,Cash,15,vk49No9e
FB,Cash,114,vk49No9e
Cash,FB,21,vk49No9e
Cash,FB,16,vk49No9e
FB,Cash,15,vk49No9e
GOOG,Cash,54,vk49No9e
BTC,TWTR,25,wPccxlgU
GOOG,Cash,226,vk49No9e
Cash,FB,10,wPccxlgU
Cash,GOOG,231,vk49No9e
GOOG,Cash,131,vk49No9e
BTC,TWTR,651,wPccxlgU
BTC,TWTR,55,wPccxlgU
TWTR,BTC,77,wPccxlgU
GOOG,Cash,45,wPccxlgU
Cash,GOOG,413,wPccxlgU
Cash,GOOG,424,vk49No9e
GOOG,Cash,424,vk49No9e
GOOG,Cash,20,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,GOOG,40,wPccxlgU
Cash,GOOG,249,vk49No9e
Cash,FB,20,vk49No9e
Cash,FB,18,vk49No9e
Cash,GOOG,54,vk49No9e
FB,Cash,14,vk49No9e
FB,Cash,21,vk49No9e
FB,Cash,19,vk49No9e
GOOG,Cash,119,wPccxlgU
GOOG,Cash,119,wPccxlgU
GOOG,Cash,20,wPccxlgU
Cash,FB,23,wPccxlgU
Cash,GOOG,196,vk49No9e
Cash,GOOG,102,vk49No9e
GOOG,Cash,130,wPccxlgU
GOOG,Cash,179,vk49No9e
GOOG,Cash,179,vk49No9e
GOOG,Cash,64,vk49No9e
GOOG,Cash,64,vk49No9e
GOOG,Cash,22,wPccxlgU
Cash,GOOG,37,wPccxlgU
Cash,GOOG,37,wPccxlgU
Cash,GOOG,312,vk49No9e
Cash,FB,65,vk49No9e
GOOG,Cash,31,wPccxlgU
Cash,GOOG,21,wPccxlgU
Cash,GOOG,17,wPccxlgU
GOOG,Cash,44,wPccxlgU
GOOG,Cash,44,wPccxlgU
Cash,GOOG,18,wPccxlgU
GOOG,Cash,38,wPccxlgU
GOOG,Cash,38,wPccxlgU
Cash,GOOG,18,wPccxlgU
Cash,GOOG,19,wPccxlgU
Cash,GOOG,16,wPccxlgU
FB,Cash,20,vk49No9e
Cash,GOOG,178,wPccxlgU
Cash,GOOG,178,wPccxlgU
GOOG,Cash,23,wPccxlgU
FB,Cash,16,vk49No9e
GOOG,Cash,64,vk49No9e
Cash,FB,17,wPccxlgU
BTC,TLSA,101,vk49No9e
Cash,GOOG,136,vk49No9e
FB,Cash,39,wPccxlgU
FB,Cash,137,wPccxlgU
Cash,GOOG,371,vk49No9e
Cash,GOOG,97,vk49No9e
Cash,GOOG,302,vk49No9e
GOOG,Cash,60,wPccxlgU
Cash,GOOG,111,wPccxlgU
GOOG,Cash,111,wPccxlgU
ZEN,BTC,144,vk49No9e
GOOG,Cash,123,wPccxlgU
GOOG,Cash,1258,wPccxlgU
GOOG,Cash,133,vk49No9e
FB,Cash,42,vk49No9e
Cash,GOOG,79,vk49No9e
GOOG,Cash,79,vk49No9e
Cash,GOOG,121,vk49No9e
FB,Cash,31,vk49No9e
GOOG,Cash,43,vk49No9e
Cash,GOOG,506,vk49No9e
GOOG,Cash,506,vk49No9e
GOOG,Cash,155,vk49No9e
Cash,GOOG,629,vk49No9e
GOOG,Cash,629,vk49No9e
BTC,ZEN,119,wPccxlgU
GOOG,Cash,112,vk49No9e
Cash,GOOG,87,vk49No9e
FB,Cash,190,vk49No9e
GOOG,Cash,178,vk49No9e
ZEN,BTC,113,wPccxlgU
ZEN,BTC,110,wPccxlgU
ZEN,BTC,61,wPccxlgU
Cash,FB,51,vk49No9e
FB,Cash,8,wPccxlgU
FB,Cash,27,wPccxlgU
FB,Cash,247,vk49No9e
FB,Cash,18,wPccxlgU
GOOG,Cash,72,wPccxlgU
Cash,FB,10,wPccxlgU
FB,Cash,4,wPccxlgU
FB,Cash,16,wPccxlgU
FB,Cash,12,wPccxlgU
Cash,FB,17,wPccxlgU
Cash,FB,10,wPccxlgU
Cash,FB,21,wPccxlgU
FB,Cash,6,wPccxlgU
Cash,GOOG,357,wPccxlgU
GOOG,Cash,89,wPccxlgU
Cash,GOOG,29,wPccxlgU
FB,Cash,54,wPccxlgU
Cash,FB,8,wPccxlgU
Cash,FB,4,wPccxlgU
FB,Cash,5,wPccxlgU
GOOG,Cash,191,wPccxlgU
FB,Cash,10,wPccxlgU
FB,Cash,48,wPccxlgU
Cash,FB,14,wPccxlgU
FB,Cash,16,wPccxlgU
FB,Cash,9,wPccxlgU
FB,Cash,18,wPccxlgU
FB,Cash,13,wPccxlgU
FB,Cash,9,wPccxlgU
FB,Cash,10,wPccxlgU
FB,Cash,10,wPccxlgU
Cash,FB,10,wPccxlgU
Cash,FB,12,wPccxlgU
Cash,FB,10,wPccxlgU
Cash,FB,11,wPccxlgU
FB,Cash,68,wPccxlgU
FB,Cash,9,wPccxlgU
FB,Cash,34,wPccxlgU
Cash,FB,10,wPccxlgU
Cash,FB,7,wPccxlgU
Cash,FB,8,wPccxlgU
FB,Cash,12,wPccxlgU
FB,Cash,12,wPccxlgU
Cash,FB,112,wPccxlgU
Cash,GOOG,178,wPccxlgU
Cash,FB,34,wPccxlgU
Cash,GOOG,29,wPccxlgU
Cash,FB,8,wPccxlgU
Cash,GOOG,21,wPccxlgU
FB,Cash,8,wPccxlgU
FB,Cash,11,wPccxlgU
Cash,FB,14,wPccxlgU
GOOG,Cash,84,wPccxlgU
FB,Cash,12,wPccxlgU
Cash,FB,57,wPccxlgU
FB,Cash,24,wPccxlgU
Cash,GOOG,405,wPccxlgU
Cash,GOOG,405,wPccxlgU
Cash,FB,9,wPccxlgU
FB,Cash,15,wPccxlgU
FB,Cash,15,wPccxlgU
Cash,FB,8,wPccxlgU
Cash,FB,8,wPccxlgU
GOOG,Cash,23,wPccxlgU
Cash,GOOG,23,wPccxlgU
Cash,GOOG,60,wPccxlgU
GOOG,Cash,60,wPccxlgU
GOOG,Cash,20,wPccxlgU
GOOG,Cash,20,wPccxlgU
Cash,GOOG,49,wPccxlgU
Cash,FB,9,wPccxlgU
FB,Cash,15,wPccxlgU
Cash,GOOG,19,wPccxlgU
FB,Cash,11,wPccxlgU
FB,Cash,14,wPccxlgU
Cash,FB,17,wPccxlgU
Cash,FB,6,wPccxlgU
Cash,FB,18,wPccxlgU
Cash,FB,11,wPccxlgU
